ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=10x10 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_fine_generations.jsonl
  seed plan    fitness=   320.4 cityPop=  313 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1] +
  seed reactive fitness=   225.0 cityPop=  220 cell=(6, 5, 0) rolls=[305.0, 185.0, 185.0] +
it  135 [cross]   fit=     3.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  133 [mutat]   fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  138 [cross]   fit=     2.2 pop=    0 m=(0.96,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  139 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  137 [cross]   fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  141 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  142 [mutat]   fit=     3.5 pop=    0 m=(0.99,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  140 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  148 [mutat]   fit=     3.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  143 [mutat]   fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  147 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  146 [cross]   fit=     2.0 pop=    0 m=(0.74,0.00,0.00) cell=(7, 0, 0) | filled=14 best_pop=773 best_fit=789
it  145 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  144 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  150 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  149 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  151 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=14 best_pop=773 best_fit=789
it  152 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  153 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  154 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  156 [mutat] + fit=     1.8 pop=    0 m=(0.56,0.00,0.00) cell=(5, 0, 0) | filled=14 best_pop=773 best_fit=789
it  155 [cross]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  158 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  157 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=14 best_pop=773 best_fit=789
it  160 [mutat] + fit=     3.1 pop=    0 m=(0.99,0.00,0.20) cell=(9, 0, 2) | filled=15 best_pop=773 best_fit=789
it  161 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=15 best_pop=773 best_fit=789
it  159 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  162 [mutat]   fit=     2.3 pop=    0 m=(0.02,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  164 [mutat]   fit=     1.9 pop=    0 m=(0.69,0.00,0.00) cell=(6, 0, 0) | filled=15 best_pop=773 best_fit=789
it  163 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  166 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  167 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=15 best_pop=773 best_fit=789
it  165 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  170 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=15 best_pop=773 best_fit=789
it  168 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  171 [cross]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  169 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  172 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=15 best_pop=773 best_fit=789
it  173 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=15 best_pop=773 best_fit=789
it  174 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  175 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  179 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=15 best_pop=773 best_fit=789
it  176 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(9, 0, 0) | filled=15 best_pop=773 best_fit=789
