ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_long_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
  seed reactive fitness=   221.0 cityPop=  216 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0, 205.0, 225.0] +
it  113 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  112 [cross]   fit=     3.5 pop=    0 m=(0.99,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  114 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  115 [cross]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  116 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  117 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  118 [mutat]   fit=     3.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  119 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  120 [mutat] + fit=     1.6 pop=    0 m=(0.37,0.00,0.00) cell=(2, 0, 0) | filled=12 best_pop=420 best_fit=433
it  124 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  123 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  121 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  122 [mutat]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  126 [cross]   fit=     2.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=12 best_pop=420 best_fit=433
it  125 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
it  129 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=12 best_pop=420 best_fit=433
