ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_clind_ambition_generations.jsonl
  seed clind_champ fitness=  2623.0 cityPop= 2613 cell=(5, 0, 2) rolls=[2569.7, 2409.7, 2889.7] +
  killing fully open-loop genomes: max(cf, divergence) <= 0.0
it   97 [mutat]   fit=     5.8 pop=    0 m=(0.94,0.00,0.00) cell=(7, 0, 0) | filled=16 best_pop=2613 best_fit=2623
it   98 [cross]   fit=    17.1 pop=    0 m=(1.00,0.00,0.22) cell=(7, 0, 2) | filled=16 best_pop=2613 best_fit=2623
it   99 [mutat] + fit=   885.4 pop=  853 m=(0.47,0.24,0.27) cell=(3, 1, 2) | filled=17 best_pop=2613 best_fit=2623
it  100 [cross]   fit=     5.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  101 [cross]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  102 [mutat]   fit=     4.5 pop=    0 m=(0.99,0.00,0.00) cell=(7, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  103 [mutat]   fit=     8.0 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  104 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  105 [mutat] + fit=    21.4 pop=    0 m=(0.30,0.00,0.00) cell=(2, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  106 [mutat]   fit=     6.1 pop=    0 m=(0.08,0.00,0.00) cell=(0, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  108 [cross]   fit=     4.4 pop=    0 m=(0.98,0.00,0.00) cell=(7, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  107 [mutat]   fit=     5.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=17 best_pop=2613 best_fit=2623
it  109 [mutat] + fit=   666.3 pop=  640 m=(0.99,0.52,0.47) cell=(7, 4, 4) | filled=18 best_pop=2613 best_fit=2623
it  110 [mutat] + fit=    24.9 pop=    0 m=(0.40,0.00,0.00) cell=(3, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  111 [mutat]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  112 [cross]   fit=     5.7 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  113 [mutat]   fit=     3.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  114 [mutat]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  115 [cross]   fit=     4.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  116 [mutat]   fit=     5.7 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  117 [mutat]   fit=    13.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  118 [mutat]   fit=    35.7 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=18 best_pop=2613 best_fit=2623
it  119 [mutat] + fit=   795.0 pop=  773 m=(0.64,0.60,0.27) cell=(5, 4, 2) | filled=19 best_pop=2613 best_fit=2623
it  120 [mutat]   fit=     2.5 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=19 best_pop=2613 best_fit=2623
it  121 [cross] + fit=    41.1 pop=    0 m=(0.68,0.00,0.00) cell=(5, 0, 0) | filled=20 best_pop=2613 best_fit=2623
it  122 [mutat] + fit=    29.5 pop=    0 m=(0.48,0.00,0.00) cell=(3, 0, 0) | filled=20 best_pop=2613 best_fit=2623
it  123 [mutat] + fit=   124.5 pop=  107 m=(1.00,0.20,0.32) cell=(7, 1, 3) | filled=21 best_pop=2613 best_fit=2623
it  124 [mutat] + fit=    74.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=21 best_pop=2613 best_fit=2623
it  125 [mutat]   fit=     8.1 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=21 best_pop=2613 best_fit=2623
it  126 [cross] + fit=  1330.1 pop= 1307 m=(1.00,0.41,0.24) cell=(7, 3, 2) | filled=21 best_pop=2613 best_fit=2623
it  127 [mutat] + fit=    15.6 pop=    0 m=(0.16,0.00,0.00) cell=(1, 0, 0) | filled=21 best_pop=2613 best_fit=2623
it  128 [cross] + fit=     7.0 pop=    0 m=(1.00,0.00,0.40) cell=(7, 0, 4) | filled=22 best_pop=2613 best_fit=2623
it  129 [mutat] KILLED open-loop: cf=0.00 div=0.00 pop=0
it  130 [mutat]   fit=    63.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=22 best_pop=2613 best_fit=2623
it  131 [cross]   fit=    50.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=22 best_pop=2613 best_fit=2623
it  132 [mutat] + fit=    36.5 pop=    0 m=(0.60,0.00,0.00) cell=(4, 0, 0) | filled=22 best_pop=2613 best_fit=2623
it  133 [mutat]   fit=    19.1 pop=    0 m=(0.28,0.00,0.00) cell=(2, 0, 0) | filled=22 best_pop=2613 best_fit=2623
it  134 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=22 best_pop=2613 best_fit=2623
it  135 [cross] + fit=   168.3 pop=  160 m=(0.96,0.22,0.20) cell=(7, 1, 2) | filled=23 best_pop=2613 best_fit=2623
it  136 [cross]   fit=     7.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=23 best_pop=2613 best_fit=2623
it  137 [cross]   fit=     3.3 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=23 best_pop=2613 best_fit=2623
it  138 [cross] + fit=  1882.8 pop= 1853 m=(0.83,0.47,0.24) cell=(6, 3, 2) | filled=24 best_pop=2613 best_fit=2623
it  139 [mutat]   fit=   920.5 pop=  907 m=(1.00,0.47,0.23) cell=(7, 3, 2) | filled=24 best_pop=2613 best_fit=2623
it  140 [mutat]   fit=     6.7 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=24 best_pop=2613 best_fit=2623
it  141 [mutat]   fit=     5.7 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=24 best_pop=2613 best_fit=2623
it  142 [mutat] invalid: init() is 32 lines; keep it <= 30 (~20 lines)
it  143 [mutat]   fit=    10.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=24 best_pop=2613 best_fit=2623
it  144 [mutat] + fit=   899.0 pop=  853 m=(0.96,0.65,0.29) cell=(7, 5, 2) | filled=25 best_pop=2613 best_fit=2623
it  145 [mutat]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=25 best_pop=2613 best_fit=2623
it  146 [cross] + fit=   881.7 pop=  853 m=(0.95,0.58,0.32) cell=(7, 4, 3) | filled=26 best_pop=2613 best_fit=2623
it  148 [mutat]   fit=     8.1 pop=    0 m=(1.00,0.00,0.40) cell=(7, 0, 3) | filled=26 best_pop=2613 best_fit=2623
it  147 [cross]   fit=     5.2 pop=    0 m=(0.06,0.00,0.00) cell=(0, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  149 [mutat]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  150 [mutat]   fit=   625.7 pop=  613 m=(1.00,0.27,0.29) cell=(7, 2, 2) | filled=26 best_pop=2613 best_fit=2623
it  151 [mutat]   fit=     5.6 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  152 [mutat]   fit=     4.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  153 [mutat]   fit=     6.9 pop=    0 m=(1.00,0.00,0.25) cell=(7, 0, 2) | filled=26 best_pop=2613 best_fit=2623
it  154 [mutat]   fit=   423.3 pop=  413 m=(1.00,0.08,0.29) cell=(7, 0, 2) | filled=26 best_pop=2613 best_fit=2623
it  155 [cross]   fit=   171.3 pop=  153 m=(1.00,0.04,0.21) cell=(7, 0, 2) | filled=26 best_pop=2613 best_fit=2623
it  156 [mutat]   fit=    15.6 pop=    0 m=(0.16,0.00,0.00) cell=(1, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  157 [mutat]   fit=   298.2 pop=  280 m=(1.00,0.01,0.23) cell=(7, 0, 2) | filled=26 best_pop=2613 best_fit=2623
it  158 [mutat]   fit=   758.4 pop=  720 m=(0.99,0.39,0.23) cell=(7, 3, 2) | filled=26 best_pop=2613 best_fit=2623
it  159 [mutat]   fit=     7.9 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  160 [mutat]   fit=    36.4 pop=    0 m=(0.60,0.00,0.00) cell=(4, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  161 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=26 best_pop=2613 best_fit=2623
it  162 [mutat] + fit=     5.8 pop=    0 m=(0.79,0.00,0.33) cell=(6, 0, 3) | filled=27 best_pop=2613 best_fit=2623
it  163 [mutat]   fit=     3.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=27 best_pop=2613 best_fit=2623
it  164 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=27 best_pop=2613 best_fit=2623
it  165 [mutat] + fit=   649.6 pop=  640 m=(1.00,0.78,0.32) cell=(7, 6, 3) | filled=28 best_pop=2613 best_fit=2623
it  166 [mutat]   fit=    98.8 pop=   80 m=(1.00,0.06,0.25) cell=(7, 0, 2) | filled=28 best_pop=2613 best_fit=2623
it  167 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  168 [mutat]   fit=     4.8 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  169 [mutat]   fit=   308.0 pop=  293 m=(0.98,0.37,0.29) cell=(7, 2, 2) | filled=28 best_pop=2613 best_fit=2623
it  170 [mutat]   fit=     5.7 pop=    0 m=(0.99,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  171 [cross]   fit=     4.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  172 [cross]   fit=     6.7 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  173 [mutat]   fit=    57.4 pop=    0 m=(0.96,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  174 [mutat]   fit=    20.2 pop=    0 m=(0.32,0.00,0.00) cell=(2, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  175 [cross]   fit=     6.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  176 [mutat]   fit=     4.0 pop=    0 m=(0.08,0.00,0.00) cell=(0, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  177 [mutat] + fit=   414.8 pop=  393 m=(1.00,0.00,0.33) cell=(7, 0, 3) | filled=28 best_pop=2613 best_fit=2623
it  178 [mutat]   fit=     7.8 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  179 [mutat]   fit=     4.5 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  180 [mutat]   fit=     3.4 pop=    0 m=(1.00,0.00,0.00) cell=(7, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  181 [mutat] KILLED open-loop: cf=0.00 div=0.00 pop=0
it  182 [mutat]   fit=    20.2 pop=    0 m=(0.32,0.00,0.00) cell=(2, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  183 [mutat]   fit=    15.5 pop=    0 m=(0.16,0.00,0.00) cell=(1, 0, 0) | filled=28 best_pop=2613 best_fit=2623
it  185 [cross]   fit=     7.7 pop=    0 m=(1.00,0.00,0.23) cell=(7, 0, 2) | filled=28 best_pop=2613 best_fit=2623
it  184 [mutat] + fit=   335.2 pop=  320 m=(1.00,0.27,0.50) cell=(7, 2, 5) | filled=29 best_pop=2613 best_fit=2623
it  186 [cross]   fit=     3.9 pop=    0 m=(0.02,0.00,0.00) cell=(0, 0, 0) | filled=29 best_pop=2613 best_fit=2623
