ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=res_ind archive=20x20 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (15.0s)
  logging every generation -> results/elm_diverse_overnight_generations.jsonl
  seed reactive fitness=   282.4 cityPop=  276 cell=(19, 0) rolls=[326.4, 346.4, 246.4, 246.4, 246.4] +
  seed plan    fitness=   335.1 cityPop=  328 cell=(19, 0) rolls=[387.1, 367.1, 267.1, 367.1, 287.1] +
  seed industrial fitness=    71.1 cityPop=   64 cell=(0, 19) rolls=[167.1, 7.1, 7.1, 167.1, 7.1] +
  seed commercial fitness=     7.1 cityPop=    0 cell=(0, 0) rolls=[7.1, 7.1, 7.1, 7.1, 7.1] +
  seed mixed   fitness=   219.1 cityPop=  212 cell=(7, 6) rolls=[7.1, 167.1, 327.1, 347.1, 247.1] +
  seed res_ind fitness=   263.1 cityPop=  256 cell=(10, 10) rolls=[247.1, 207.1, 327.1, 287.1, 247.1] +
  seed res_heavy fitness=   247.1 cityPop=  240 cell=(15, 5) rolls=[287.1, 167.1, 187.1, 327.1, 267.1] +
  seed twin    fitness=   171.2 cityPop=  160 cell=(10, 9) rolls=[411.2, 411.2, 11.2, 11.2, 11.2] +
it   91 [cross]   fit=     3.3 pop=    0 m=(1.00,0.00) cell=(19, 0) | filled=29 best_pop=2028 best_fit=2044
it   92 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=2028 best_fit=2044
it   93 [mutat]   fit=    10.5 pop=    0 m=(0.40,0.26) cell=(8, 5) | filled=29 best_pop=2028 best_fit=2044
it   94 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=2028 best_fit=2044
it   95 [cross] + fit=  4516.3 pop= 4460 m=(0.50,0.22) cell=(10, 4) | filled=29 best_pop=4460 best_fit=4516
it   96 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=4460 best_fit=4516
it   97 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=4460 best_fit=4516
it   98 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=4460 best_fit=4516
it   99 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=4460 best_fit=4516
it  100 [mutat] + fit=   791.7 pop=  772 m=(0.37,0.26) cell=(7, 5) | filled=29 best_pop=4460 best_fit=4516
it  101 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=4460 best_fit=4516
it  102 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=4460 best_fit=4516
it  103 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=29 best_pop=4460 best_fit=4516
it  104 [cross] + fit=   373.9 pop=  364 m=(0.47,0.00) cell=(9, 0) | filled=30 best_pop=4460 best_fit=4516
it  105 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00) cell=(0, 0) | filled=30 best_pop=4460 best_fit=4516
